Node,OH,NomV,Vpu,P,Q,Qmin,Qmax,Vpu_obj,Phases,PhasesV,Subest,Feeder,
37e694c4-c835-4725-ad26-687c6c76ea0b_22 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_23 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_24 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_25 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_1  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_2  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_3  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_4  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_5  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_6  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_7  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_8  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_9  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_10 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_11 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_12 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_13 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_14 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_15 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
30b525e9-a961-4634-a2ed-6133921235c6_16 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
