Code,NodeA,NodeB,Vnom1,Vnom2,Phases,Xsc(pu),TapMin,TapMax,Subest,Feeder,
Tr(R:DT64-DT64LV) ,DT64 ,DT64LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT65-DT65LV) ,DT65 ,DT65LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT66-DT66LV) ,DT66 ,DT66LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT67-DT67LV) ,DT67 ,DT67LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT68-DT68LV) ,DT68 ,DT68LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT69-DT69LV) ,DT69 ,DT69LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT70-DT70LV) ,DT70 ,DT70LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT71-DT71LV) ,DT71 ,DT71LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT72-DT72LV) ,DT72 ,DT72LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT73-DT73LV) ,DT73 ,DT73LV ,12.470 ,0.416 ,1 ,0.16000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT74-DT74LV) ,DT74 ,DT74LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT75-DT75LV) ,DT75 ,DT75LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT76-DT76LV) ,DT76 ,DT76LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT77-DT77LV) ,DT77 ,DT77LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT78-DT78LV) ,DT78 ,DT78LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT79-DT79LV) ,DT79 ,DT79LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT80-DT80LV) ,DT80 ,DT80LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT81-DT81LV) ,DT81 ,DT81LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
