meter id,ResStock_ids,cvrmses,cvrmses_month,percent_errs_cooling,percent_errs_heating,peak_htg_hr_diffs,peak_clg_hr_diffs,costs
6000983623,[207534],[0.9691769473050648],[0.18156741737547744],[0.1368897117409259],[0.2832300989392714],[0.0],[2.0],[0.004346561659844263]
6000983643,[264151],[0.9569439344384784],[0.20371425770868995],[0.00697825093522376],[0.08536176060980552],[3.0],[2.0],[0.0035016426242843357]
6000983662,[212174],[1.233820414982139],[0.17640893396550855],[0.020929372326850146],[0.15115662652600373],[1.0],[2.0],[0.004935944335522759]
6000983754,[228135],[0.8327788783861879],[0.19245988783903673],[0.012862977012332848],[0.14428754061599008],[8.0],[5.0],[0.015452927718462031]
6000983766,[246807],[1.132580755356604],[0.1989083867029674],[0.032871548539711005],[0.12196832858659723],[1.0],[2.0],[0.0018981475017057054]
6000983779,[],[],[],[],[],[],[],[]
6000983812,[438421],[1.126901478838273],[0.14182311222004057],[0.02013011258406782],[0.038186353909411774],[0.0],[1.0],[0.0027962610558158645]
6000983840,[128133],[0.9800612143410161],[0.21779439435417267],[0.2659931964766638],[0.039545647291991656],[0.0],[0.0],[0.003631165516492372]
6000983868,[31375],[0.8890521680815694],[0.10011575279946151],[0.20185663644221383],[0.30815797456988164],[1.0],[2.0],[0.009647358869381464]
6000983900,[],[],[],[],[],[],[],[]
6000983921,[103360],[1.2291521950238349],[0.24193329574312927],[0.08841228151816176],[0.10470345219724182],[0.0],[2.0],[0.006880849202165137]
6000983937,[534907],[1.0373338095401468],[0.1649788283425179],[0.10924143401411787],[0.003564880565790446],[7.0],[6.0],[0.004487555007473713]
6000983952,[],[],[],[],[],[],[],[]
6000983991,[184851],[0.9298179642576977],[0.1301574011390671],[0.04545641117816155],[0.06018465608257091],[12.0],[3.0],[0.00422532533143864]
6000984007,[303288],[0.7017335256397556],[0.11082366933955246],[0.042630887881179025],[0.1704959677987509],[1.0],[1.0],[0.006410365798109298]
6000984054,[218118],[0.8476405466886995],[0.11774010704798939],[0.029077999253089744],[0.43253668384074234],[11.0],[2.0],[0.005733730463258091]
6000984067,[200729],[0.8896245405057239],[0.16205483201306695],[0.11973925037589551],[0.00819060753637759],[2.0],[4.0],[0.005279747159312756]
6000984082,[519907],[1.0630399689744763],[0.16635264083108242],[0.17053459956699585],[0.07506449151091434],[1.0],[1.0],[0.00680600164280044]
6000984123,[98895],[0.9765944465028336],[0.1751597402821972],[0.0015195566037398444],[0.010787143211559658],[1.0],[2.0],[0.0028781243777133464]
6000984145,[386007],[0.7828987774417039],[0.14216600604047971],[0.018546929270749468],[0.053422787455561664],[2.0],[2.0],[0.006139461957154891]
6000984162,[173040],[0.5679652318013954],[0.113191521102022],[0.07725569249884907],[0.03134011130943146],[10.0],[0.0],[0.013083308814282558]
6000984196,[301424],[0.7762982959264062],[0.09499470435247186],[0.1706270763772742],[0.3528247959194967],[1.0],[0.0],[0.004858031231791416]
6000984211,[239532],[1.050402011351453],[0.3826576722153829],[0.07836626459645783],[0.05598538124659631],[1.0],[1.0],[0.005907104591948472]
6000984221,[548817],[0.8450701951529423],[0.15395174454208424],[0.10109995861976445],[0.07860219950829511],[1.0],[3.0],[0.00454067752801079]
6000984250,[461496],[0.7884965157504668],[0.23183789851013348],[0.06290832976005144],[0.134846879441569],[7.0],[4.0],[0.0070859218396176135]
